variant,subject,t_ms,model,fold,base_train,base_test,base_converged,base_nfev,base_negative_scale_evals,ext_train,ext_test,ext_converged,ext_nfev,ext_negative_scale_evals,n_test
active,3,465,model3,0,-1228.3764,-349.38982,0,1400,0,-1228.2542,-349.28479,0,14000,0,181
active,3,465,model3,1,-1226.9592,-350.10338,0,1400,0,-1226.9463,-350.13672,1,12893,0,183
active,3,465,model3,2,-1254.5504,-321.22712,0,1400,0,-1254.5504,-321.22734,1,261,0,186
active,3,465,model3,3,-1293.1633,-283.18742,0,1400,0,-1293.1633,-283.18863,1,216,0,180
active,3,465,model3,4,-1287.7981,-288.14807,1,1253,0,-1287.7981,-288.14811,1,238,0,180
active,3,495,model2B,0,-1204.9715,-347.85175,0,1200,0,-1203.5516,-345.74514,1,1850,0,181
active,3,495,model2B,1,-1197.7809,-352.00655,0,1200,0,-1197.2416,-351.80698,1,1129,0,183
active,3,495,model2B,2,-1235.9045,-312.2788,0,1200,0,-1235.0984,-312.17296,1,326,0,186
active,3,495,model2B,3,-1266.2681,-280.72728,1,977,0,-1266.2426,-280.67431,1,318,0,180
active,3,495,model2B,4,-1271.3035,-276.64275,0,1200,0,-1271.3035,-276.64224,1,174,0,180
active,3,495,model3,0,-1204.1214,-345.47174,0,1400,0,-1203.8665,-345.96559,0,14000,0,181
active,3,495,model3,1,-1198.5894,-351.10981,0,1400,0,-1198.5137,-351.208,1,8646,0,183
active,3,495,model3,2,-1235.3704,-312.81838,0,1400,0,-1235.3155,-312.73634,1,2646,0,186
active,3,495,model3,3,-1266.9914,-281.02053,0,1400,0,-1266.9887,-281.02268,0,14000,0,180
active,3,495,model3,4,-1272.5279,-276.44741,0,1400,0,-1272.5239,-276.44906,1,885,0,180
active,4,255,model2B,0,-850.35768,-236.45208,0,1200,0,-849.77455,-235.51196,1,706,0,135
active,4,255,model2B,1,-863.09462,-217.27339,0,1200,0,-862.64477,-217.0719,1,1676,0,157
active,4,255,model2B,2,-874.71605,-205.14066,0,1200,0,-874.13833,-205.51897,1,502,0,173
active,4,255,model2B,3,-872.86141,-206.20751,0,1200,0,-872.82006,-206.17145,1,370,0,171
active,4,255,model2B,4,-891.16184,-191.67648,0,1200,0,-890.09725,-190.8415,1,981,0,175
active,4,255,model3,0,-849.64316,-235.63366,1,695,0,-848.7542,-236.12296,1,8562,0,135
active,4,255,model3,1,-862.98621,-216.44332,0,1400,0,-862.44145,-216.14199,1,1361,0,157
active,4,255,model3,2,-873.74864,-205.67872,0,1400,0,-873.74351,-205.67293,1,11547,0,173
active,4,255,model3,3,-873.04302,-205.95844,0,1400,0,-872.45755,-206.16545,1,936,0,171
active,4,255,model3,4,-890.0191,-190.89435,0,1400,0,-890.0191,-190.89434,1,358,0,175
active,4,285,model2B,0,-892.67667,-220.68644,0,1200,0,-891.2798,-218.48249,1,4304,0,135
active,4,285,model2B,1,-891.34425,-215.30479,0,1200,0,-891.34415,-215.29401,1,249,0,157
