subject,window,t_ms,model0,model2B,model3
8,48,1155,-183.107,-183.64,-183.983
8,49,1185,-174.196,-174.384,-174.484
8,50,1215,-152.367,-153.006,-152.659
8,51,1245,-130.657,-130.654,-130.995
8,52,1275,-134.838,-134.965,-134.499
9,0,-285,-125.298,-125.1,-126.687
9,1,-255,-139.365,-140.201,-139.988
9,2,-225,-139.855,-140.323,-140.156
9,3,-195,-126.243,-126.316,-126.746
9,4,-165,-123.445,-123.765,-124.334
9,5,-135,-167.772,-171.874,-167.912
9,6,-105,-181.052,-182.784,-182.187
9,7,-75,-146.778,-147.554,-147.778
9,8,-45,-137.069,-137.604,-139.135
9,9,-15,-169.127,-169.169,-169.78
9,10,15,-186.492,-186.139,-186.102
9,11,45,-177.539,-178.023,-178.166
9,12,75,-179.643,-179.331,-180.355
9,13,105,-189.217,-189.589,-189.378
9,14,135,-166.709,-165.893,-166.709
9,15,165,-184.508,-184.791,-186.501
9,16,195,-204.144,-201.894,-200.667
9,17,225,-215.49,-212.339,-212.523
9,18,255,-233.783,-229.098,-228.516
9,19,285,-270.93,-258.67,-259.574
9,20,315,-299.084,-283.499,-282.763
9,21,345,-316.087,-299.703,-299.35
9,22,375,-331.654,-309.47,-309.486
9,23,405,-344.63,-318.512,-318.016
9,24,435,-325.429,-304.956,-303.675
9,25,465,-297.664,-283.998,-284.649
9,26,495,-308.814,-295.235,-295.394
9,27,525,-320.62,-307.87,-307.345
9,28,555,-289.866,-281.124,-281.116
9,29,585,-256.972,-254.21,-254.1
9,30,615,-262.659,-256.944,-257.038
9,31,645,-270.82,-264.834,-263.445
9,32,675,-260.494,-256.293,-256.494
9,33,705,-246.124,-243.055,-243.305
9,34,735,-257.068,-253.296,-252.89
9,35,765,-259.594,-255.865,-256.486
9,36,795,-235.065,-233.628,-234.84
9,37,825,-228.14,-227.283,-227.474
9,38,855,-238.777,-237.046,-236.983
9,39,885,-227.887,-226.145,-225.96
9,40,915,-220.088,-219.225,-219.409
9,41,945,-229.015,-229.579,-229.27
9,42,975,-210.753,-210.602,-210.073
9,43,1005,-191.463,-191.51,-191.174
9,44,1035,-213.895,-213.972,-213.551
9,45,1065,-214.119,-214.305,-213.344
9,46,1095,-210.431,-210.52,-209.978
9,47,1125,-203.619,-203.134,-202.973
9,48,1155,-203.621,-203.113,-203.332
9,49,1185,-203.878,-203.973,-204.073
9,50,1215,-193.413,-193.599,-194.004
9,51,1245,-189.798,-189.836,-189.882
9,52,1275,-189.955,-190.024,-190.11
10,0,-285,-122.641,-122.924,-121.79
10,1,-255,-118.564,-118.588,-118.792
10,2,-225,-120.089,-120.274,-120.344
10,3,-195,-119.314,-119.327,-119.547
10,4,-165,-110.837,-110.392,-111.063
10,5,-135,-121.067,-120.936,-121.128
10,6,-105,-135.683,-136.172,-136.247
10,7,-75,-120.062,-119.629,-120.004
10,8,-45,-111.931,-112.363,-112.395
10,9,-15,-145.258,-145.208,-145.625
10,10,15,-142.12,-142.126,-142.038
10,11,45,-133.363,-133.715,-133.74
10,12,75,-133.931,-134.689,-134.288
