subject,session,window,t_ms,model,fold,train_llh,test_llh,exitflag,nfev,n_train,n_test,p0,p1,p2,p3,p4,p5,p6
1,passive,7,-75,model0,4,-647.82,-148.681,1,84,710,183,0.60256,-0.0122148,,,,,
1,passive,7,-75,model2B,0,-607.898,-190.306,0,1200,722,171,10.9458,0.00717034,0.399088,-5.13813,0.534649,-0.0034714,
1,passive,7,-75,model2B,1,-632.177,-164.164,0,1200,726,167,-21.5947,0.0141074,0.716114,-0.957623,0.573481,0.00127541,
1,passive,7,-75,model2B,2,-633.954,-162.657,0,1200,707,186,17.1208,-0.00636477,0.017761,-57.7988,1.37397,0.0134383,
1,passive,7,-75,model2B,3,-658.017,-139.485,0,1200,707,186,-21.6395,0.0179221,0.0872907,-14.9532,0.362077,-0.0159079,
1,passive,7,-75,model2B,4,-647.514,-148.984,0,1200,710,183,-23.6127,0.00395169,0.366793,-21.2669,0.336343,-0.0116049,
1,passive,7,-75,model3,0,-606.019,-185.796,0,1400,722,171,-69.3032,-0.044727,0.0263433,-1.0356,0.10643,0.0333201,0.535426
1,passive,7,-75,model3,1,-632.193,-164.264,1,1019,726,167,13.186,0.0696591,-0.0175502,0.00564673,0.0427953,4.26172e-05,0.577702
1,passive,7,-75,model3,2,-633.93,-162.606,0,1400,707,186,-16.2556,-0.0654111,0.00411289,-0.0458557,0.522312,-0.0744779,0.592561
1,passive,7,-75,model3,3,-658.162,-139.431,0,1400,707,186,-147.797,0.0325465,-0.02345,-0.214922,0.247849,0.00923519,0.61383
1,passive,7,-75,model3,4,-647.786,-148.746,0,1400,710,183,41.0534,-0.00865717,-0.0256053,0.00321806,-0.00227659,0.00448234,0.602437
1,passive,8,-45,model0,0,-617.509,-205.325,1,88,722,171,0.569125,0.0404418,,,,,
1,passive,8,-45,model0,1,-667.39,-151.76,1,85,726,167,0.606749,0.0336854,,,,,
1,passive,8,-45,model0,2,-647.117,-172.031,1,81,707,186,0.604364,0.0334479,,,,,
1,passive,8,-45,model0,3,-677.966,-142.7,1,89,707,186,0.631303,0.0273484,,,,,
1,passive,8,-45,model0,4,-662.266,-157.202,1,90,710,183,0.614979,0.0213311,,,,,
1,passive,8,-45,model2B,0,-616.912,-205.271,0,1200,722,171,-44.4192,0.0340751,1.29478,-0.709606,0.598131,0.0568264,
1,passive,8,-45,model2B,1,-666.737,-151.784,0,1200,726,167,-169.463,0.00880977,6.05006,-0.134961,0.610743,0.0532647,
1,passive,8,-45,model2B,2,-646.305,-171.919,1,1038,707,186,-0.447941,0.0135284,4.12736,-0.461931,0.619214,0.0682533,
1,passive,8,-45,model2B,3,-677.143,-142.622,1,1018,707,186,-74.9919,0.00944689,6.238,-0.694726,0.649755,0.0594396,
1,passive,8,-45,model2B,4,-661.549,-157.201,0,1200,710,183,-91.2101,0.0105051,3.62883,-1.38729,0.644307,0.0403143,
1,passive,8,-45,model3,0,-616.891,-204.285,0,1400,722,171,12.7871,0.125211,-0.0108836,-0.510896,0.952637,-0.150904,0.559137
1,passive,8,-45,model3,1,-664.56,-152.911,0,1400,726,167,-4.65488,0.00532044,-0.0882602,0.0486866,0.498294,-0.110565,0.589822
1,passive,8,-45,model3,2,-644.899,-172.289,0,1400,707,186,6.79058,0.0479127,-0.0639719,-0.125648,0.429102,-0.297154,0.590478
1,passive,8,-45,model3,3,-677.01,-141.794,0,1400,707,186,14.5934,0.0401233,-0.0514269,-1.74067,1.97439,-0.345178,0.620743
1,passive,8,-45,model3,4,-660.093,-158.051,1,1223,710,183,-1.1258,-0.283754,-0.0603826,0.949562,-1.15922,0.0244929,0.593115
1,passive,9,-15,model0,0,-606.898,-201.37,1,100,722,171,0.560826,0.0451861,,,,,
1,passive,9,-15,model0,1,-654.153,-150.61,1,98,726,167,0.595795,0.0400894,,,,,
1,passive,9,-15,model0,2,-634.866,-169.912,1,87,707,186,0.593969,0.0322936,,,,,
1,passive,9,-15,model0,3,-657.699,-147.811,1,82,707,186,0.613437,0.0322037,,,,,
1,passive,9,-15,model0,4,-661.395,-144.183,1,88,710,183,0.61425,0.0322676,,,,,
1,passive,9,-15,model2B,0,-605.346,-201.104,0,1200,722,171,-20.0344,0.0577786,2.06788,-0.0543893,0.562136,0.0941135,
1,passive,9,-15,model2B,1,-650.946,-150.72,0,1200,726,167,-5.63428,0.693976,6.56637,0.610598,0.572775,0.0767451,
1,passive,9,-15,model2B,2,-631.674,-169.83,1,611,707,186,-2.7435,1.07451,2.96567,0.290682,0.582079,0.0693139,
1,passive,9,-15,model2B,3,-655.814,-146.531,0,1200,707,186,-0.698585,8.1551,32.4319,0.362204,0.600379,0.04955,
1,passive,9,-15,model2B,4,-660.067,-143.402,0,1200,710,183,143.548,0.00430905,20.7374,0.287032,0.603798,0.0835171,
1,passive,9,-15,model3,0,-603.05,-201.576,0,1400,722,171,5.73716,0.468495,-0.0533331,-1.10818,2.60941,-0.189982,0.520269
1,passive,9,-15,model3,1,-649.36,-151.984,0,1400,726,167,4.82256,0.637675,-0.066845,-0.31408,1.14054,-0.616969,0.555942
1,passive,9,-15,model3,2,-631.775,-169.469,1,1382,707,186,9.75499,0.105514,-0.0815013,0.545239,-0.383747,-0.0347482,0.564581
1,passive,9,-15,model3,3,-654.914,-146.94,1,1203,707,186,22.9753,0.0781791,-0.0620408,0.686829,-0.0999574,-0.349233,0.569207
1,passive,9,-15,model3,4,-658.07,-143.475,0,1400,710,183,9.41808,0.153227,-0.0876059,0.53111,-0.772149,0.323984,0.572254
1,passive,10,15,model0,0,-569.067,-193.033,1,78,722,171,0.532187,0.0177844,,,,,
1,passive,10,15,model0,1,-619.177,-139.416,1,89,726,167,0.567742,0.0106481,,,,,
1,passive,10,15,model0,2,-602.102,-156.519,1,84,707,186,0.567044,0.0189259,,,,,
