t_ms,r_sd_mean,r_sd_sem,t_sd,p_sd,p_sd_fdr,r_mean_mean,r_mean_sem,t_mean,p_mean,p_mean_fdr
-262,0.01574,0.09693,0.1624,0.4364,0.9881,-0.022,0.1117,-0.1969,0.577,0.6081
-260,0.008359,0.09609,0.087,0.4658,0.9881,-0.02816,0.1092,-0.258,0.6004,0.6286
-258,-0.002065,0.09611,-0.02148,0.5085,0.9881,-0.03535,0.1064,-0.3324,0.6284,0.6516
-256,-0.01398,0.09701,-0.1441,0.5565,0.9881,-0.04537,0.1034,-0.4387,0.6671,0.6886
-254,-0.02566,0.09842,-0.2607,0.6014,0.9881,-0.06113,0.1015,-0.6024,0.723,0.7414
-252,-0.03605,0.09984,-0.361,0.639,0.9881,-0.07745,0.102,-0.7596,0.7716,0.788
-250,-0.04487,0.1009,-0.4448,0.6693,0.9881,-0.08677,0.1023,-0.8479,0.7965,0.8121
-248,-0.05231,0.1014,-0.5159,0.6941,0.9881,-0.0932,0.1021,-0.913,0.8137,0.8289
-246,-0.05858,0.1016,-0.5768,0.7146,0.9881,-0.0994,0.1018,-0.9765,0.8295,0.8436
-244,-0.06374,0.1018,-0.6265,0.7308,0.9881,-0.1056,0.1017,-1.038,0.8439,0.8577
-242,-0.0681,0.1024,-0.6653,0.7431,0.9881,-0.1116,0.1019,-1.095,0.8563,0.8695
-240,-0.07274,0.1038,-0.701,0.7541,0.9881,-0.117,0.1024,-1.143,0.8663,0.8782
-238,-0.07898,0.1063,-0.7434,0.7668,0.9881,-0.1216,0.1029,-1.182,0.874,0.8853
-236,-0.08656,0.1093,-0.7919,0.7809,0.9881,-0.1254,0.1034,-1.213,0.8799,0.8906
-234,-0.09335,0.1118,-0.8353,0.793,0.9881,-0.1285,0.1038,-1.238,0.8846,0.894
-232,-0.09712,0.1132,-0.8576,0.7991,0.9881,-0.1311,0.1041,-1.26,0.8886,0.8972
-230,-0.09639,0.114,-0.8458,0.7959,0.9881,-0.1333,0.1041,-1.281,0.8922,0.9001
-228,-0.09032,0.1142,-0.7909,0.7806,0.9881,-0.1352,0.1039,-1.302,0.8957,0.9029
-226,-0.0785,0.1141,-0.6877,0.75,0.9881,-0.1369,0.1035,-1.324,0.8993,0.9059
-224,-0.06121,0.1142,-0.5358,0.7009,0.9881,-0.1386,0.1028,-1.348,0.9032,0.9083
-222,-0.0395,0.1149,-0.3438,0.6326,0.9881,-0.1401,0.102,-1.373,0.9071,0.9115
-220,-0.01472,0.1162,-0.1266,0.5497,0.9881,-0.1414,0.1011,-1.4,0.9111,0.9148
-218,0.01205,0.1179,0.1022,0.4598,0.9881,-0.1425,0.1,-1.425,0.9148,0.917
-216,0.03995,0.1192,0.3351,0.3706,0.9881,-0.143,0.09888,-1.446,0.9178,0.9192
-214,0.06737,0.1196,0.5633,0.2899,0.969,-0.1425,0.09775,-1.458,0.9194,0.9194
-212,0.09123,0.119,0.7666,0.2264,0.8397,-0.1402,0.09662,-1.451,0.9185,0.9192
-210,0.1088,0.1179,0.9228,0.1838,0.7413,-0.1352,0.09545,-1.417,0.9136,0.9166
-208,0.1196,0.1165,1.027,0.1587,0.6618,-0.1269,0.09424,-1.346,0.903,0.9083
-206,0.1248,0.1149,1.086,0.1456,0.6169,-0.1153,0.09309,-1.238,0.8847,0.894
-204,0.1252,0.1134,1.104,0.1418,0.6069,-0.1016,0.0922,-1.102,0.8579,0.8705
-202,0.1215,0.1122,1.083,0.1461,0.6169,-0.08746,0.09174,-0.9533,0.8238,0.8386
-200,0.1144,0.1115,1.026,0.1588,0.6618,-0.07398,0.09174,-0.8064,0.785,0.801
-198,0.1041,0.1116,0.9326,0.1814,0.736,-0.06191,0.09219,-0.6715,0.745,0.7615
-196,0.09052,0.1129,0.8021,0.2162,0.8116,-0.05152,0.09302,-0.5538,0.7069,0.7267
-194,0.07267,0.1152,0.6309,0.2678,0.9247,-0.04286,0.09419,-0.4551,0.6729,0.6934
-192,0.04941,0.1184,0.4173,0.3406,0.9881,-0.03593,0.09566,-0.3756,0.6443,0.6656
-190,0.02237,0.1214,0.1843,0.4279,0.9881,-0.0308,0.09748,-0.3159,0.6223,0.6466
-188,-0.0006038,0.1218,-0.004959,0.502,0.9881,-0.02769,0.09968,-0.2778,0.6079,0.6344
-186,-0.005898,0.1176,-0.05014,0.5197,0.9881,-0.02699,0.1023,-0.2639,0.6026,0.6304
-184,0.007056,0.118,0.05981,0.4765,0.9881,-0.02886,0.1053,-0.2741,0.6065,0.6339
-182,-0.002845,0.1208,-0.02356,0.5093,0.9881,-0.03261,0.1084,-0.3007,0.6166,0.6423
-180,-0.02331,0.1214,-0.1921,0.5751,0.9881,-0.03659,0.1113,-0.3288,0.627,0.651
-178,-0.0459,0.1211,-0.3792,0.6456,0.9881,-0.03921,0.1134,-0.3456,0.6333,0.6558
-176,-0.06824,0.1201,-0.5682,0.7117,0.9881,-0.03981,0.1148,-0.3469,0.6338,0.6558
-174,-0.08922,0.1183,-0.754,0.7699,0.9881,-0.03846,0.1154,-0.3332,0.6287,0.6516
-172,-0.1056,0.1147,-0.9204,0.8156,0.9881,-0.03566,0.1158,-0.308,0.6193,0.644
-170,-0.1116,0.1083,-1.03,0.8421,0.9881,-0.03231,0.1162,-0.278,0.608,0.6344
-168,-0.1146,0.1039,-1.102,0.858,0.9881,-0.02924,0.117,-0.25,0.5974,0.6259
-166,-0.121,0.1033,-1.171,0.8719,0.9881,-0.02691,0.118,-0.2281,0.589,0.6182
-164,-0.1303,0.1043,-1.249,0.8867,0.9881,-0.02541,0.119,-0.2135,0.5834,0.6133
-162,-0.1417,0.1048,-1.352,0.9038,0.9881,-0.02471,0.1199,-0.2061,0.5805,0.6109
-160,-0.1534,0.1047,-1.465,0.9204,0.9881,-0.02481,0.1203,-0.2062,0.5806,0.6109
-158,-0.1629,0.1049,-1.553,0.9315,0.9881,-0.02598,0.1201,-0.2163,0.5845,0.6139
-156,-0.1684,0.1063,-1.585,0.9352,0.9881,-0.02878,0.1191,-0.2415,0.5941,0.6231
-154,-0.1696,0.109,-1.556,0.9318,0.9881,-0.03387,0.1176,-0.2881,0.6118,0.6378
-152,-0.1681,0.1126,-1.493,0.9241,0.9881,-0.04135,0.1157,-0.3573,0.6376,0.6592
-150,-0.166,0.1159,-1.433,0.9159,0.9881,-0.05025,0.1141,-0.4406,0.6678,0.6887
-148,-0.1639,0.1182,-1.387,0.9092,0.9881,-0.05895,0.1128,-0.5227,0.6964,0.7165
-146,-0.1614,0.1198,-1.347,0.9031,0.9881,-0.06596,0.1119,-0.5893,0.7187,0.7376
-144,-0.1583,0.1208,-1.311,0.8972,0.9881,-0.07028,0.1114,-0.6308,0.7322,0.7496
-142,-0.1547,0.121,-1.279,0.8918,0.9881,-0.07143,0.1111,-0.6432,0.7361,0.753
-140,-0.1504,0.1202,-1.251,0.8869,0.9881,-0.06923,0.1107,-0.6253,0.7304,0.7484
-138,-0.145,0.1189,-1.219,0.8812,0.9881,-0.06328,0.1103,-0.5738,0.7136,0.7329
-136,-0.1382,0.1173,-1.178,0.8734,0.9881,-0.05214,0.1098,-0.4748,0.6798,0.7
-134,-0.1303,0.1157,-1.126,0.8629,0.9881,-0.03349,0.1103,-0.3036,0.6176,0.6428
-132,-0.1212,0.1139,-1.064,0.8497,0.9881,-0.0131,0.1133,-0.1156,0.5454,0.5758
-130,-0.1107,0.1117,-0.9915,0.8331,0.9881,-0.001133,0.116,-0.009768,0.5038,0.5333
